tracker,sequence,mota,motp,id_switches,num_frames
sort,BlueFish2,-0.3710,0.2796,9,593
sort,BoySwimming,-0.9923,0.0000,0,648
sort,Dolphin2,0.4615,0.2383,9,390
sort,Fisherman,0.3347,0.2121,9,708
sort,HoverFish2,0.4209,0.2141,5,449
sort,SeaDiver,0.2445,0.2411,13,818
sort,SeaTurtle2,0.2661,0.3816,8,823
sort,SeaTurtle3,0.4157,0.2869,15,878
sort,AGGREGATE,0.0993,0.2390,68,5307
deepsort,BlueFish2,-4.9764,0.3441,12,593
deepsort,BoySwimming,-0.9969,0.0000,0,648
deepsort,Dolphin2,-0.2128,0.2563,2,390
deepsort,Fisherman,-0.1412,0.3025,7,708
deepsort,HoverFish2,-0.1247,0.2617,6,449
deepsort,SeaDiver,-1.3044,0.2507,3,818
deepsort,SeaTurtle2,0.0207,0.3796,3,823
deepsort,SeaTurtle3,-0.4362,0.2998,10,878
deepsort,AGGREGATE,-0.9928,0.2669,43,5307
fairmot,BlueFish2,-1.1568,0.3325,4,593
fairmot,BoySwimming,-0.9691,0.0000,0,648
fairmot,Dolphin2,0.3205,0.2526,2,390
fairmot,Fisherman,0.3065,0.2724,9,708
fairmot,HoverFish2,0.1492,0.2640,4,449
fairmot,SeaDiver,-0.2579,0.2454,2,818
fairmot,SeaTurtle2,0.3171,0.3901,2,823
fairmot,SeaTurtle3,0.3975,0.2941,5,878
fairmot,AGGREGATE,-0.0953,0.2614,28,5307
